,Resident,Work,percent,Number
632,DC,IL,0.005417442,3783
633,SD,IL,0.028972083,25460
634,LA,IL,0.014964312,69495
635,MI,IL,0.064520681,644704
636,MO,IL,0.157942218,964655
637,WV,IL,0.026498439,47826
638,NE,IL,0.033001172,63450
639,OK,IL,0.027985163,109795
640,WI,IL,0.181657689,1055522
641,IA,IL,0.189060546,596362
642,NJ,IL,0.01464589,130336
643,HI,IL,0.010622416,14608
644,MT,IL,0.015082966,15969
645,VT,IL,0.031059871,19435
646,IN,IL,0.151869843,1015863
647,DE,IL,0.018782801,18102
648,CO,IL,0.025693871,145415
649,MN,IL,0.040521722,227288
650,NV,IN,0.003883496,11742
651,FL,IN,0.011780937,250119
652,OR,IN,0.003142902,13163
653,IL,IN,0.08144275,1035411
654,NH,IN,0.013168274,17845
655,TX,IN,0.007495304,214272
656,LA,IN,0.008683802,40328
657,MN,IN,0.015957452,89506
658,WY,IN,0.010446354,6004
659,NJ,IN,0.003487299,31034
660,TN,IN,0.025586791,172694
661,IN,IN,1.097516429,7341328
662,CA,IN,0.002913988,114814
663,DE,IN,0.011997875,11563
664,IA,IN,0.027862529,87888
665,VA,IN,0.007991516,67142
666,OK,IN,0.012163905,47723
667,MT,IN,0.011992512,12697
668,WV,IN,0.020371652,36768
669,HI,IN,0.003617642,4975
670,RI,IN,0.003384048,3563
671,MD,IN,0.002914237,17510
672,OH,IN,0.077741707,908076
673,SD,IN,0.001015047,892
674,ID,IN,0.011182576,19577
675,CO,IN,0.007228704,40911
676,DC,IN,0.005786911,4041
677,MS,IN,0.014917155,44349
678,PA,IN,0.012662568,162090
679,MO,IN,0.037614334,229735
680,MA,IN,0.00360363,24855
681,KS,IN,0.018602368,53738
682,WA,IN,0.006307572,47202
683,WI,IN,0.041866621,243266
684,ME,IN,0.007693136,10286
685,GA,IN,0.010242685,107099
686,AZ,IN,0.004831223,34553
687,AL,IN,0.015529135,75690
688,MI,IN,0.095334094,952598
689,UT,IN,0.009592018,30275
690,KY,IN,0.212260172,944915
691,CT,IN,0.002220847,7919
692,NC,IN,0.011174069,114938
693,NY,IN,0.005860453,114380
694,AR,IN,0.015286352,45990
695,NE,IN,0.009627292,18510
696,SC,IN,0.010509285,52998
697,AK,IN,0.01014759,7286
698,NM,IN,0.005252009,10944
699,DC,IA,0.008156953,5696
700,CO,IA,0.005874349,33246
701,OR,IA,0.004256039,17825
702,WV,IA,0.007841047,14152
703,NM,IA,0.003984597,8303
704,MD,IA,0.001829262,10991
705,SD,IA,0.247504202,217501
706,CA,IA,0.002366464,93241
707,NY,IA,0.002314003,45163
708,UT,IA,0.00481993,15213
709,MO,IA,0.09077001,554391
710,AZ,IA,0.004788997,34251
711,NE,IA,0.223114447,428973
712,VT,IA,0.006175217,3864
713,SC,IA,0.006149949,31014
714,PA,IA,0.004849492,62077
715,AR,IA,0.011447979,34442
716,NC,IA,0.005747153,59116
717,KS,IA,0.046222063,133525
718,VA,IA,0.003380284,28400
719,OH,IA,0.006831195,79793
720,ME,IA,0.012458902,16658
721,NV,IA,0.008303777,25107
722,MA,IA,0.004092668,28228
723,IN,IA,0.015976291,106866
724,CT,IA,0.0004661,1662
725,LA,IA,0.008553097,39721
726,NH,IA,0.002593069,3514
727,GA,IA,0.004893677,51169
728,OK,IA,0.028107508,110275
729,WI,IA,0.087126581,506249
730,ND,IA,0.031607035,23797
731,FL,IA,0.003463785,73539
732,TX,IA,0.003343385,95579
733,TN,IA,0.009204156,62122
734,MN,IA,0.130745701,733358
735,NJ,IA,0.000531287,4728
736,IA,IA,2.12566987,6705094
737,MS,IA,0.006500797,19327
738,IL,IA,0.057615296,732484
739,AL,IA,0.006523099,31794
740,ID,IA,0.01742133,30499
741,MT,IA,0.004700853,4977
742,MI,IA,0.011528784,115198
743,WA,IA,0.004360191,32629
744,KY,IA,0.008390759,37353
745,WY,IA,0.012278467,7057
746,MI,KS,0.008170367,81640
747,NJ,KS,0.001376199,12247
748,MT,KS,0.016887935,17880
749,WA,KS,0.006192383,46340
750,ND,KS,0.018763398,14127
751,TX,KS,0.011181951,319664
752,WV,KS,0.00386955,6984
753,SC,KS,0.002162218,10904
754,ME,KS,0.005278093,7057
755,SD,KS,0.028775218,25287
756,VA,KS,0.004899389,41163
757,NH,KS,0.002621848,3553
758,OR,KS,0.001809383,7578
759,NC,KS,0.003073554,31615
760,CT,KS,0.001083641,3864
761,LA,KS,0.008452538,39254
762,UT,KS,0.003820015,12057
763,CA,KS,0.001859167,73253
764,IL,KS,0.008588682,109191
765,NM,KS,0.0117268,24436
766,IN,KS,0.003694403,24712
767,NV,KS,0.005437292,16440
768,PA,KS,0.003547378,45409
769,MO,KS,0.163427475,998157
770,MN,KS,0.011994029,67275
771,OK,KS,0.161631869,634135
772,FL,KS,0.00250937,53276
773,IA,KS,0.040804681,128712
774,CO,KS,0.031973554,180955
775,NY,KS,0.001696959,33120
776,MS,KS,0.002787401,8287
777,ID,KS,0.001751329,3066
778,OH,KS,0.003215309,37557
779,RI,KS,0.000847199,892
780,WI,KS,0.008879959,51597
781,AR,KS,0.024487081,73671
782,HI,KS,0.00325915,4482
783,NE,KS,0.177134895,340570
784,KY,KS,0.004975422,22149
785,AZ,KS,0.005913295,42292
786,MD,KS,0.002756625,16563
787,AL,KS,0.004779584,23296
788,TN,KS,0.006029032,40692
789,KS,KS,1.827946269,5280520
790,MA,KS,0.000943425,6507
791,GA,KS,0.006179907,64618
792,WY,KS,0.018500346,10633
793,AZ,KY,0.002493562,17834
794,WA,KY,0.003696187,27660
795,CA,KY,0.001068197,42088
796,LA,KY,0.007652374,35538
797,NH,KY,0.003654205,4952
798,SD,KY,0.014468972,12715
799,WY,KY,0.014192356,8157
800,OH,KY,0.054397432,635399
801,WV,KY,0.10788587,194719
802,ID,KY,0.001751329,3066
803,ME,KY,0.003996901,5344
804,OR,KY,0.000712722,2985
805,NE,KY,0.007740842,14883
806,NC,KY,0.011133529,114521
807,NY,KY,0.002790043,54454
808,CO,KY,0.004446136,25163
809,CT,KY,0.003277285,11686
810,DE,KY,0.010462213,10083
811,SC,KY,0.012670116,63895
812,UT,KY,0.003946747,12457
